query,symbol,notfound
ENSG00000004939,SLC4A1,
ENSG00000010319,SEMA3G,
ENSG00000036473,OTC,
ENSG00000043591,ADRB1,
ENSG00000073754,CD5L,
ENSG00000094963,FMO2,
ENSG00000101280,ANGPT4,
ENSG00000102760,RGCC,
ENSG00000104938,CLEC4M,
ENSG00000107742,SPOCK2,
ENSG00000108370,RGS9,
ENSG00000108576,SLC6A4,
ENSG00000114812,VIPR1,
ENSG00000114854,TNNC1,
ENSG00000116016,EPAS1,
ENSG00000120156,TEK,
ENSG00000122254,HS3ST2,
ENSG00000122679,RAMP3,
ENSG00000131355,ADGRE3,
ENSG00000132671,SSTR4,
ENSG00000135604,STX11,
ENSG00000137834,SMAD6,
ENSG00000140600,SH3GL3,
ENSG00000142748,FCN3,
ENSG00000150625,GPM6A,
ENSG00000154342,WNT3A,
ENSG00000158578,ALAS2,
ENSG00000161649,CD300LG,
ENSG00000163815,CLEC3B,
ENSG00000164736,SOX17,
ENSG00000165312,OTUD1,
ENSG00000166292,TMEM100,
ENSG00000168309,FAM107A,
ENSG00000168484,SFTPC,
ENSG00000168497,CAVIN2,
ENSG00000168539,CHRM1,
ENSG00000169252,ADRB2,
ENSG00000170323,FABP4,
ENSG00000170989,S1PR1,
ENSG00000176771,NCKAP5,
ENSG00000179133,C10orf67,
ENSG00000182010,RTKN2,
ENSG00000188536,HBA2,
ENSG00000204305,AGER,
ENSG00000206172,HBA1,
ENSG00000206177,HBM,
ENSG00000222761,RNU6-684P,
ENSG00000222979,RN7SKP167,
ENSG00000223587,LINC01986,
ENSG00000224215,LOC105376453,
ENSG00000226108,RAB28P1,
ENSG00000228401,,
ENSG00000230352,,
ENSG00000232738,,
ENSG00000232899,CDY9P,
ENSG00000233746,LINC00656,
ENSG00000234646,,
ENSG00000234880,LINC00163,
ENSG00000235387,SPAAR,
ENSG00000244734,HBB,
ENSG00000246430,LINC00968,
ENSG00000249167,SEMA6A-AS2,
ENSG00000253843,,
ENSG00000254321,,
ENSG00000259749,NCAPGP2,
ENSG00000260908,,
ENSG00000260940,,True
ENSG00000261701,HPR,
ENSG00000263632,,True
ENSG00000266120,,
ENSG00000266321,MIR4293,
ENSG00000266985,,
ENSG00000267095,,
ENSG00000269186,LINC01082,
ENSG00000270584,,
ENSG00000276917,MIR8080,
